title,score,episode,aired,user
Haikyuu!! Riku vs. Kuu,7.83,OVA (2 eps),Jan 2020 - Jan 2020,"288,885 members"
Hidamari Sketch x 365,7.83,TV (13 eps),Jul 2008 - Sep 2008,"31,639 members"
Id:Invaded,7.83,TV (13 eps),Jan 2020 - Mar 2020,"354,610 members"
Suzumiya Haruhi no Yuuutsu,7.83,TV (14 eps),Apr 2006 - Jul 2006,"899,972 members"
Tanaka-kun wa Itsumo Kedaruge,7.83,TV (12 eps),Apr 2016 - Jun 2016,"451,551 members"
Tomo-chan wa Onnanoko!,7.83,TV (13 eps),Jan 2023 - Mar 2023,"342,002 members"
Wan Sheng Jie,7.83,ONA (12 eps),Apr 2020 - May 2020,"24,394 members"
Tamayura: Sotsugyou Shashin Part 3 - Akogare,7.82,Movie (1 eps),Nov 2015 - Nov 2015,"9,692 members"
Tasogare Otome x Amnesia,7.82,TV (12 eps),Apr 2012 - Jun 2012,"394,494 members"
Tentai Senshi Sunred 2nd Season,7.82,TV (26 eps),Oct 2009 - Mar 2010,"7,952 members"
Working'!!,7.82,TV (13 eps),Oct 2011 - Dec 2011,"260,461 members"
Yi Nian Yong Heng,7.82,ONA (52 eps),Aug 2020 - Jul 2021,"15,581 members"
Yuru Yuri♪♪,7.82,TV (12 eps),Jul 2012 - Sep 2012,"182,705 members"
Kokoro ga Sakebitagatterunda.,7.82,Movie (1 eps),Sep 2015 - Sep 2015,"324,237 members"
Ojamajo Doremi Na-i-sho,7.82,OVA (13 eps),Jun 2004 - Dec 2004,"10,472 members"
Ragna Crimson,7.83,TV (24 eps),Oct 2023 -,"47,619 members"
Seto no Hanayome OVA,7.82,OVA (2 eps),Nov 2008 - Jan 2009,"52,705 members"
Somali to Mori no Kamisama,7.82,TV (12 eps),Jan 2020 - Mar 2020,"281,677 members"
Bungou Stray Dogs,7.82,TV (12 eps),Apr 2016 - Jun 2016,"1,338,088 members"
Eikoku Koi Monogatari Emma: Molders-hen,7.82,TV (12 eps),Apr 2007 - Jul 2007,"26,688 members"
Flanders no Inu (Movie),7.82,Movie (1 eps),Mar 1997 - Mar 1997,"21,836 members"
Haikyuu!! (OVA),7.82,OVA (10 eps),Mar 2020 - Mar 2020,"30,709 members"
Hibike! Euphonium Movie 2: Todoketai Melody,7.82,Movie (1 eps),Sep 2017 - Sep 2017,"29,064 members"
Isekai Ojisan,7.82,TV (13 eps),Jul 2022 - Mar 2023,"318,100 members"
Aggressive Retsuko (ONA) 3rd Season,7.81,ONA (10 eps),Aug 2020 - Aug 2020,"86,701 members"
Akachan to Boku,7.81,TV (35 eps),Jul 1996 - Mar 1997,"22,395 members"
Blue Period,7.81,TV (12 eps),Oct 2021 - Dec 2021,"440,864 members"
Break Blade Movie 5: Shisen no Hate,7.81,Movie (1 eps),Jan 2011 - Jan 2011,"55,098 members"
Detective Conan Movie 08: Time Travel of the Silver Sky,7.81,Special (1 eps),Apr 2004 - Apr 2004,"21,254 members"
Doraemon (1979),7.81,TV (1787 eps),Apr 1979 - Mar 2005,"60,840 members"
Enen no Shouboutai: Ni no Shou,7.81,TV (24 eps),Jul 2020 - Dec 2020,"734,646 members"
Go! Princess Precure,7.81,TV (50 eps),Feb 2015 - Jan 2016,"17,588 members"
Goku Sayonara Zetsubou Sensei,7.81,OVA (3 eps),Oct 2008 - Feb 2009,"63,806 members"
Hidamari Sketch x ☆☆☆ Specials,7.81,Special (2 eps),Oct 2010 - Oct 2010,"14,780 members"
Igano Kabamaru,7.81,TV (24 eps),Oct 1983 - Mar 1984,"10,886 members"
Jungle wa Itsumo Hare nochi Guu,7.81,TV (26 eps),Apr 2001 - Sep 2001,"33,684 members"
Star☆Twinkle Precure: Hoshi no Uta ni Omoi wo Komete,7.81,Movie (1 eps),Oct 2019 - Oct 2019,"3,811 members"
Wan Sheng Jie 2,7.81,ONA (12 eps),Oct 2020 - Dec 2020,"11,408 members"
Kobayashi-san Chi no Maid Dragon S: Nippon no Omotenashi - Attend wa Dragon desu,7.81,Special (1 eps),Jan 2022 - Jan 2022,"70,109 members"
Kuroko no Basket Movie 3: Winter Cup - Tobira no Mukou,7.81,Movie (1 eps),Dec 2016 - Dec 2016,"40,690 members"
Little Witch Academia (TV),7.81,TV (25 eps),Jan 2017 - Jun 2017,"627,484 members"
Lupin III: The First,7.81,Movie (1 eps),Dec 2019 - Dec 2019,"31,142 members"
Lupin the IIIrd: Jigen Daisuke no Bohyou,7.81,Movie (1 eps),Jun 2014 - Jun 2014,"28,388 members"
Mahoujin Guruguru (2017),7.81,TV (24 eps),Jul 2017 - Dec 2017,"32,469 members"
Mairimashita! Iruma-kun 3rd Season,7.81,TV (21 eps),Oct 2022 - Mar 2023,"172,162 members"
Maria-sama ga Miteru 3rd,7.81,OVA (5 eps),Dec 2006 - Jul 2007,"22,362 members"
Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken,7.81,TV (12 eps),Jan 2023 - Mar 2023,"265,191 members"
Owarimonogatari 2nd Season Recaps,7.81,Special (2 eps),Aug 2017 - Aug 2017,"25,461 members"
Shingeki no Kyojin: Lost Girls,7.81,OVA (3 eps),Dec 2017 - Aug 2018,"297,152 members"
Slayers Try,7.81,TV (26 eps),Apr 1997 - Sep 1997,"54,116 members"
Kuroko no Basket: Tip Off,7.80,Special (1 eps),Feb 2013 - Feb 2013,"102,641 members"
Little Witch Academia,7.80,Movie (1 eps),Mar 2013 - Mar 2013,"307,488 members"
Lucky☆Star: Original na Visual to Animation,7.80,OVA (1 eps),Sep 2008 - Sep 2008,"130,931 members"
Magi: Sinbad no Bouken,7.80,OVA (5 eps),May 2014 - Jul 2015,"132,384 members"
